npi,provider_name,specialty,address,city,state,zip,phone
1234567890,Dr. Anil Sharma,Cardiology,12 MG Road,Bengaluru,KA,560001,9876543210
1234567891,Dr. Priya Mehta,Dermatology,45 Linking Road,Mumbai,MH,400050,9823456789
1234567892,Dr. Rahul Verma,Orthopedics,22 Park Street,Kolkata,WB,700016,9830012345
1234567893,Dr. Neha Iyer,Pediatrics,18 T Nagar,Chennai,TN,600017,9840011122
1234567894,Dr. Arjun Singh,Neurology,5 Civil Lines,Jaipur,RJ,302006,9799988877
1234567895,Dr. Kavita Rao,Gynecology,90 Banjara Hills,Hyderabad,TS,500034,9887766554
1234567896,Dr. Suresh Patel,General Medicine,101 Ashram Road,Ahmedabad,GJ,380009,9898123456
1234567897,Dr. Pooja Nair,ENT,14 Marine Drive,Kochi,KL,682011,9966123456
1234567898,Dr. Amit Kulkarni,Oncology,33 FC Road,Pune,MH,411004,9765432109
1234567899,Dr. Ritu Malhotra,Psychiatry,77 Sector 17,Chandigarh,CH,160017,9815512345
1234567900,Dr. Neha Iyer,Psychiatry,147 Main Road,Pune,MH,411055,9340915796
1234567901,Dr. Ayaan Chatterjee,General Medicine,92 Main Road,Mumbai,MH,400069,9509235430
1234567902,Dr. Ananya Patel,Neurology,189 Main Road,Mumbai,MH,400013,9927748754
1234567903,Dr. Aarav Malhotra,Cardiology,144 Main Road,Mumbai,MH,400070,9653458526
1234567904,Dr. Arjun Iyer,Psychiatry,99 Main Road,Pune,MH,411096,9612513480
1234567905,Dr. Sakshi Malhotra,Oncology,168 Main Road,Bengaluru,KA,560078,9810016181
1234567906,Dr. Aarav Mehta,General Medicine,2 Main Road,Ahmedabad,GJ,380072,9297855130
1234567907,Dr. Aarav Mehta,ENT,123 Main Road,Delhi,DL,110046,9308317802
1234567908,Dr. Ishaan Nair,ENT,70 Main Road,Bengaluru,KA,560062,9458304138
1234567909,Dr. Ayaan Malhotra,Oncology,4 Main Road,Ahmedabad,GJ,380050,9690094284
1234567910,Dr. Kavya Patel,Oncology,17 Main Road,Pune,MH,411071,9977119035
1234567911,Dr. Riya Kulkarni,Oncology,23 Main Road,Delhi,DL,110091,9192510670
1234567912,Dr. Aditya Singh,Pediatrics,115 Main Road,Pune,MH,411073,9725918785
1234567913,Dr. Ayaan Gupta,Oncology,4 Main Road,Ahmedabad,GJ,380018,9857798867
1234567914,Dr. Pooja Patel,Oncology,130 Main Road,Hyderabad,TS,500018,9872800711
1234567915,Dr. Arjun Gupta,Orthopedics,15 Main Road,Pune,MH,411016,9190335531
1234567916,Dr. Riya Rao,Pediatrics,103 Main Road,Ahmedabad,GJ,380097,9949630537
1234567917,Dr. Reyansh Malhotra,ENT,87 Main Road,Delhi,DL,110068,9905076475
1234567918,Dr. Vivaan Kulkarni,General Medicine,175 Main Road,Kolkata,WB,700034,9837533007
1234567919,Dr. Priyanka Patel,Cardiology,48 Main Road,Bengaluru,KA,560049,9660565878
1234567920,Dr. Reyansh Sharma,Dermatology,62 Main Road,Hyderabad,TS,500054,9398363349
1234567921,Dr. Aarav Patel,Pediatrics,31 Main Road,Hyderabad,TS,500020,9987076976
1234567922,Dr. Ayaan Patel,Dermatology,95 Main Road,Bengaluru,KA,560097,9148531543
1234567923,Dr. Ishaan Rao,ENT,136 Main Road,Kolkata,WB,700010,9152892333
1234567924,Dr. Ananya Gupta,Psychiatry,170 Main Road,Hyderabad,TS,500028,9597986820
1234567925,Dr. Ayaan Gupta,General Medicine,182 Main Road,Bengaluru,KA,560021,9842887776
1234567926,Dr. Kavya Malhotra,Cardiology,121 Main Road,Delhi,DL,110097,9425133541
1234567927,Dr. Sakshi Singh,Cardiology,75 Main Road,Chennai,TN,600085,9569184196
1234567928,Dr. Kavya Singh,ENT,26 Main Road,Hyderabad,TS,500011,9131711104
1234567929,Dr. Sakshi Sharma,Dermatology,3 Main Road,Delhi,DL,110072,9920847336
1234567930,Dr. Vivaan Sharma,Cardiology,25 Main Road,Ahmedabad,GJ,380021,9302451429
1234567931,Dr. Priyanka Verma,Oncology,79 Main Road,Ahmedabad,GJ,380040,9377899557
1234567932,Dr. Sakshi Nair,General Medicine,196 Main Road,Chennai,TN,600081,9389797694
1234567933,Dr. Kavya Singh,Oncology,117 Main Road,Chennai,TN,600029,9478134444
1234567934,Dr. Aditya Mehta,Oncology,36 Main Road,Bengaluru,KA,560031,9200707824
1234567935,Dr. Sakshi Patel,ENT,115 Main Road,Bengaluru,KA,560011,9473965494
1234567936,Dr. Vihaan Nair,Gynecology,158 Main Road,Kolkata,WB,700024,9867300030
1234567937,Dr. Reyansh Patel,Oncology,80 Main Road,Delhi,DL,110080,9266586175
